company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,roce_percentage,roe_percentage,broad_sector,computed_roce,high_leverage_suppressed
ADANIPOWER,Mar 2013,-34.294680215182304,14.34548714883443,-53.459119496855344,9.735616119263918,0.6899588960657663,0.12236688121708601,-1063.0,4064.0,3001.0,-10.0,145.0,0.0,41795.0,16.09,,,-29.210477610273518,32.2,57.1,Energy,2.5494705780246485,False
ADANIPOWER,Mar 2014,-1.8984864300626305,29.964770354906058,-4.447501146263182,6.747669264863212,1.1364728495915426,0.2609509865676978,-1462.0,4700.0,3238.0,-1.0,145.0,0.0,44150.0,16.09,,,-2.028345529919372,32.2,57.1,Energy,9.330676819284713,False
ADANIPOWER,Mar 2015,-4.367606915377617,25.03880533104962,-14.253275109170305,7.815196506550218,1.2060032894736843,0.3195095256011219,1087.0,4737.0,5824.0,-3.0,145.0,0.0,44742.0,16.09,,,-6.1004574996489325,32.2,57.1,Energy,11.623437097509264,False
ADANIPOWER,Mar 2016,2.171257437837412,34.6849509398274,7.378146759507231,7.06065881092662,1.5469424460431656,0.33481542074570547,2565.0,2692.0,5257.0,2.0,145.0,0.0,52729.0,16.09,,,3.2947398726967827,32.2,57.1,Energy,14.28808744621825,False
ADANIPOWER,Mar 2017,-27.299257163070394,26.44145737530951,-205.79999999999998,17.494666666666667,0.3920704845814978,0.31625903707121983,3513.0,1212.0,4725.0,-16.0,145.0,0.0,52484.0,16.09,,,-77.59433270866639,32.2,57.1,Energy,4.170571696344892,False
ADANIPOWER,Mar 2018,-10.35756501182033,26.773049645390074,-236.55793025871765,59.43194600674916,1.111310592459605,0.29202623403520883,4581.0,520.0,5101.0,-5.0,145.0,0.0,52835.0,16.09,,,-82.2078230121676,32.2,57.1,Energy,11.52185243094334,False
ADANIPOWER,Mar 2019,-4.119912912409982,20.86333947412494,-12.759336099585061,6.091804979253112,1.313593777620647,0.3513127895859381,4626.0,984.0,5610.0,-3.0,145.0,0.0,46980.0,16.09,,,-5.509312074136368,32.2,57.1,Energy,13.58699627002121,False
ADANIPOWER,Mar 2020,-8.595284872298626,21.66389602538915,-35.102607622280516,8.517049837987965,1.139604891815616,0.3527890703098967,3294.0,2304.0,5598.0,-6.0,145.0,0.0,55199.0,16.09,,,-14.448367808089749,32.2,57.1,Energy,9.820038910505836,False
ADANIPOWER,Mar 2021,4.84344609282636,33.13374775942947,9.685045374818882,4.005109433386716,2.0754014884449665,0.3327284724513362,4826.0,2188.0,7014.0,3.0,145.0,0.0,52519.0,16.09,,,4.953739980032193,32.2,57.1,Energy,16.146087274500243,False
ADANIPOWER,Mar 2022,17.725812854101257,35.6573201977554,26.613209080565635,2.662675407704394,3.3672771672771673,0.33801734548248985,11007.0,774.0,10233.0,13.0,145.0,0.0,49145.0,16.09,,,14.89234642671646,32.2,57.1,Energy,20.397325522913523,False
ADANIPOWER,Mar 2023,27.666159440848016,26.038738297268715,35.90507430713616,1.4175257731958764,4.2927414517096585,0.4517891891262045,9976.0,1545.0,8431.0,28.0,145.0,0.0,42350.0,16.09,,,21.34100764570346,32.2,57.1,Energy,19.815578877412566,False
ADANIPOWER,Mar 2024,41.36759945184802,36.20186292228556,48.27674122146251,0.8023177656738903,8.297225501770956,0.5472399439185297,17651.0,3481.0,14170.0,54.0,145.0,0.0,34616.0,16.09,,,30.063860205743016,32.2,57.1,Energy,36.15051246768946,False
ADANIPOWER,TTM,23.213174748398902,38.36230558096981,,,7.13724884080371,,,,,33.0,145.0,,,16.09,,,7.737724916132968,32.2,57.1,Energy,,False
AMBUJACEM,Dec 2012,13.252641296543235,25.36670427736178,14.686825053995682,0.006820506991019666,32.58974358974359,0.7897124341838802,1472.0,388.0,1860.0,8.0,205.0,43.0,60.0,4.12,11.23,7.78,9.576392928240931,12.8,9.24,Materials,28.70046291069211,False
AMBUJACEM,Dec 2013,13.950442091474729,18.218535094422005,13.506658211794548,0.0050729232720355105,30.73134328358209,0.7070855202222909,771.0,496.0,1267.0,8.0,205.0,44.0,48.0,4.12,11.23,7.78,9.388061941163857,12.8,9.24,Materials,21.650893796004205,False
AMBUJACEM,Dec 2014,14.937217478653944,19.427423405323957,14.766633565044687,0.0033763654419066533,35.65151515151515,0.7173223807465052,1219.0,456.0,1675.0,10.0,205.0,46.0,34.0,4.12,11.23,7.78,10.140391141481713,12.8,9.24,Materials,23.28780680918448,False
AMBUJACEM,Dec 2015,8.562043022146868,16.33993853979019,7.866809463538117,0.0034076526141563626,20.597826086956523,0.6677280124531239,1474.0,83.0,1557.0,5.0,205.0,54.0,35.0,4.12,11.23,7.78,5.698860166046036,12.8,9.24,Materials,18.3873471764021,False
AMBUJACEM,Dec 2016,7.136458644371454,15.830596197870012,7.234751021643711,0.00146309469754301,23.673202614379086,0.6121740190104802,-1355.0,4165.0,2810.0,6.0,205.0,50.0,29.0,4.12,11.23,7.78,4.994461228341882,12.8,9.24,Materials,18.24685138539043,False
AMBUJACEM,Dec 2017,8.238383667245541,16.34122580371892,9.408862229102168,0.0011609907120743034,20.354368932038835,0.6648736939930722,2678.0,738.0,3416.0,8.0,205.0,47.0,24.0,4.12,11.23,7.78,6.1040398634469275,12.8,9.24,Materials,20.259953614224973,False
AMBUJACEM,Dec 2018,11.416612265273992,15.402634307438271,13.29012069736254,0.001788109074653554,24.958823529411763,0.6964510176245621,938.0,765.0,1703.0,11.0,205.0,14.0,40.0,4.12,11.23,7.78,8.467727993420363,12.8,9.24,Materials,18.93351182507809,False
