company_id,sales,net_profit,eps,opm_percentage,net_profit_margin,borrowings,total_assets,debt_ratio,asset_turnover
RELIANCE,899041,79020,51.0,18.0,8.789365557299389,357525,1815123,19.69701226859006,0.4953058277593309
RECLTD,47517,14145,54.0,101.0,29.7682934528695,483617,595227,81.24917048453784,0.07983004803209531
BOSCHLTD,16727,2490,844.0,13.0,14.886112273569676,31,18521,0.16737757140543166,0.9031369796447276
BRITANNIA,16769,2134,89.0,19.0,12.725863199952292,2754,9467,29.090524981514736,1.7713108693355868
BPCL,448083,26859,62.0,10.0,5.994201967046283,58880,211226,27.875356253491525,2.121343963337847
DLF,6427,2724,11.0,33.0,42.38369379181578,4290,62579,6.85533485674108,0.10270218443886928
DMART,50789,2536,39.0,8.0,4.993207190533383,713,23040,3.094618055555556,2.2043836805555554
DRREDDY,28011,5578,67.0,28.0,19.913605369319196,4854,46728,10.387776065742168,0.5994478685156651
ULTRACEMCO,70908,7004,243.0,18.0,9.877587860326056,16964,107611,15.76418767598108,0.6589289199059576
CANBK,110519,15401,17.0,-7745.0,13.935160470145405,1369780,1535018,89.23543567567286,0.0719985042520674
CHOLAFIN,19163,3420,41.0,4548.0,17.846892448990243,157943,181945,86.80810134930886,0.10532303718156585
UNITDSPR,11321,1408,19.0,18.0,12.437063863616288,518,11955,4.332915098285237,0.9469677959012965
UNIONBANK,100376,13797,18.0,5.0,13.745317605802185,1251568,1401996,89.27044014390911,0.07159506874484663
BHEL,23893,282,1.0,3.0,1.180262001423011,9128,61793,14.771899729742852,0.3866619196349101
AXISBANK,109369,24861,81.0,11952.0,22.73130411725443,1295302,1518239,85.31608001111815,0.0720367478374617
BAJAJHLDNG,1702,7365,653.0,92.0,432.7262044653349,47,72533,0.06479809190299587,0.02346518136572319
BAJAJFINSV,110382,15595,51.0,37.0,14.128209309488865,318675,601195,53.00692786866158,0.18360432139322516
BHARTIARTL,149982,8558,13.0,52.0,5.706018055499993,225541,460982,48.92620536159764,0.3253532675896239
BEL,20268,3985,5.0,25.0,19.661535425300965,78,225,34.66666666666667,90.08
BANKBARODA,118379,18869,36.0,4102.0,15.93948250956673,1453761,1654775,87.85248749830036,0.07153782236255685
BAJFINANCE,54972,14451,233.0,19987.0,26.287928399912687,324218,420656,77.0743790650793,0.13068160206914914
BAJAJ-AUTO,44870,7708,276.0,20.0,17.178515712057056,5245,45842,11.441472885127176,0.978796736617076
VEDL,143727,7539,11.0,25.0,5.245360996889937,79808,205175,38.897526501766784,0.7005093213110759
ATGL,4475,668,6.0,25.0,14.927374301675977,1457,6842,21.294942999123062,0.6540485238234435
ASIANPAINT,35495,5558,57.0,21.0,15.658543456824905,2516,29474,8.536337110673815,1.2042817398385017
DABUR,12404,1811,10.0,19.0,14.600128990648178,1752,16373,10.700543577841568,0.7575887131252672
DIVISLAB,7845,1600,60.0,28.0,20.395156150414277,8,15586,0.05132811497497754,0.5033363274733735
COALINDIA,142324,37369,61.0,47971.0,26.25628846856468,7816,249359,3.134436695687744,0.5707594271712672
CIPLA,25774,4154,51.0,6291.0,16.11701714906495,461,34655,1.3302553744048478,0.7437310633386236
ADANIPOWER,50351,20829,54.0,36.0,41.36759945184802,37705,110784,34.034698151357595,0.4544970392836511
APOLLOHOSP,19059,935,63.0,13.0,4.905818773282963,7371,19548,37.70718232044199,0.9749846531614488
AMBUJACEM,33160,4738,16.0,19.0,14.288299155609169,779,76572,1.017343154155566,0.43305646972783784
ADANIGREEN,9220,1260,7.0,79.0,13.665943600867678,67430,98258,68.62545543365425,0.09383459870951984
ZOMATO,12114,351,0.0,0.0,2.8974739970282317,1159,25205,4.59829398928784,0.48061892481650464
WIPRO,89760,11112,11.0,19.0,12.379679144385026,19282,125552,15.357780043328662,0.7149229004715177
ADANIPORTS,26711,8104,38.0,58.0,30.339560480700833,50485,126015,40.06269094949014,0.21196682934571281
ADANIENT,96421,3335,28.0,12.0,3.458790097592848,80427,181768,44.24706218916421,0.5304619074864663
