company_id,sales,net_profit,eps,opm_percentage,net_profit_margin,borrowings,total_assets,debt_ratio,asset_turnover,sales_cagr,profit_cagr,roa,earnings_yield,operating_margin_ratio
SUNPHARMA,48497,9610,40.0,28.0,19.815658700538176,2572,88116,2.9188796586318038,0.5503767760679105,14.32,9.71,10.906078351264242,0.08247932861826505,28.0
ZYDUSLIFE,19547,3973,38.0,28.0,20.32536962193687,190,31446,0.6042103924187495,0.6216052916110157,10.75,17.25,12.634357310945749,0.19440323323272113,28.0
INDIGO,68904,8167,212.0,16331.0,11.852722628584695,20,1239,1.6142050040355125,55.61259079903148,20.08,23.7,659.1606133979016,0.3076744456054801,16331.0
ADANIENSOL,16607,1196,10.0,30.0,7.201782380923707,39009,69107,56.44724846976428,0.240308507097689,,,1.730649572402217,0.060215571746853734,30.0
ABB,5849,1201,565.0,25.0,20.53342451701145,60,5063,1.1850681414181317,1.1552439265257752,11.11,19.27,23.721113964052932,9.65977090100872,25.0
TATAMOTORS,437928,31807,94.0,14.0,7.263066074788551,106549,390656,27.274379505242464,1.1210067169069462,7.95,11.12,8.141945855176932,0.021464715661021903,14.0
SBILIFE,131988,1894,19.0,0.0,1.4349789374791648,0,448497,0.0,0.2942895939103271,21.96,10.52,0.42229936878061614,0.01439524805285329,0.0
SHREECEM,20521,1733,480.0,22.0,8.445007553238145,1682,27859,6.037546214867727,0.7366021752395994,12.87,5.09,6.2206109336300655,2.339067296915355,22.0
PFC,91508,26461,60.0,37.0,28.916597455960137,910447,1103361,82.5157858579377,0.0829356846943112,16.34,17.62,2.3982178090398336,0.06556803776718975,37.0
NHPC,9632,4028,4.0,50.0,41.81893687707641,34210,97681,35.022163982760205,0.0986066891207092,3.81,3.12,4.123626907996438,0.04152823920265781,50.0
NTPC,178501,21332,21.0,29.0,11.950633329785267,242009,492230,49.16583710866871,0.3626373849623143,8.67,4.91,4.333746419356805,0.011764639974005748,29.0
NESTLEIND,24394,3933,41.0,24.0,16.12281708616873,370,11108,3.330932661145121,2.196074900972272,9.38,12.12,35.406913935902054,0.16807411658604574,24.0
NAUKRI,2536,595,44.0,28.0,23.46214511041009,256,50186,0.5101024190013151,0.0505320208823177,16.52,20.57,1.1855896066632128,1.7350157728706623,28.0
EICHERMOT,16536,4001,146.0,26.0,24.19569424286405,404,24380,1.6570959803117309,0.6782608695652174,8.25,19.43,16.410992616899097,0.8829221093372037,26.0
GAIL,133228,9903,15.0,11.0,7.433122166511544,19632,128989,15.21990247230384,1.0328632674103992,9.13,7.73,7.67739884796378,0.011258894526676074,11.0
GRASIM,130978,9926,85.0,21.0,7.578371940325857,158159,448454,35.26760827197438,0.2920656299196796,15.09,9.18,2.2133819745168957,0.06489639481439631,21.0
GODREJCP,14096,-561,-5.0,21.0,-3.979852440408626,3828,18984,20.16434892541087,0.7425200168563001,7.42,,-2.9551201011378003,-0.03547105561861521,21.0
HAVELLS,18590,1271,20.0,10.0,6.837009144701453,332,12843,2.5850657945962783,1.4474811181188196,9.1,7.38,9.896441641361053,0.10758472296933834,10.0
HCLTECH,109913,15710,58.0,22.0,14.293122742532727,5791,99763,5.804757274741137,1.1017411264697332,14.17,13.14,15.747321151128174,0.05276900821558869,22.0
HAL,30381,7595,114.0,32.0,24.999177117277245,124,476,26.05042016806723,63.82563025210085,7.07,8.82,1595.5882352941176,0.37523452157598497,32.0
TVSMOTOR,39145,1779,36.0,14.0,4.544641716694342,14619,44946,32.52569750367107,0.8709340097005295,16.19,22.09,3.9580830329729007,0.09196576829735598,14.0
TORNTPHARM,10728,1656,49.0,31.0,15.436241610738255,3128,15088,20.73170731707317,0.7110286320254506,11.62,12.92,10.975609756097562,0.45674869500372856,31.0
TRENT,12375,1477,42.0,16.0,11.935353535353537,1842,8274,22.26250906453952,1.4956490210297315,17.34,,17.85109983079526,0.3393939393939394,16.0
ICICIBANK,159516,46081,63.0,-14152.0,28.8880112339828,1651008,2364063,69.83773275077695,0.0674753591592102,12.22,14.77,1.9492289334082888,0.03949447077409163,-14152.0
